"from","to"
"FBXW7","RPL13"
"FBXW7","TPM3"
"FBXW7","HNRNPA2B1"
"COPE","FBXW7"
"FBXW7","SLC25A1"
"FBXW7","PFKL"
"ARHGEF1","FBXW7"
"FBXW7","UPF1"
"FBXW7","TIMM50"
"FBXW7","NAT10"
"FBXW7","MYBBP1A"
"FBXW7","PSPC1"
"FBXW7","USP10"
"FBXW7","TSC1"
"FBXW7","POLR1A"
"CFL1","FBXW7"
"CSNK2B","FBXW7"
"FBXW7","MCM2"
"FBXW7","XPOT"
"DDX41","FBXW7"
"FBXW7","SIRT1"
"FBXW7","PSMD11"
"BIRC5","FBXW7"
"FBXW7","PRC1"
"FBXW7","PRPF4"
"FBXW7","NCAPD2"
"DDX42","FBXW7"
"EIF3A","FBXW7"
"FBXW7","POLD1"
"FBXW7","GATA3"
"FBXW7","PLK1"
"FBXW7","TRAF2"
"FBXW7","NFKBIA"
"FBXW7","KPNA2"
"IRS1","YWHAE"
"CHAF1A","YWHAE"
"HSP90AB1","YWHAE"
"HNRNPA2B1","YWHAE"
"PARD3","YWHAE"
"MARK3","YWHAE"
"ABLIM1","YWHAE"
"ARAF","YWHAE"
"TSC1","YWHAE"
"VASP","YWHAE"
"CENPE","YWHAE"
"SHMT2","YWHAE"
"ECH1","YWHAE"
"MAP3K5","YWHAE"
"YWHAE","YWHAE"
"CAD","YWHAE"
"TAF4","YWHAE"
"EIF3A","YWHAE"
"SF3B2","YWHAE"
"BRD1","YWHAE"
"MAP2K2","YWHAE"
"RBM15","YWHAE"
"HIVEP1","YWHAE"
"USP21","YWHAE"
"CENPJ","YWHAE"
"KRT8","YWHAE"
"KIF14","YWHAE"
"CBX4","YWHAE"
"CUL3","YWHAE"
"CDK2","YWHAE"
"AKT1","YWHAE"
"PAK2","YWHAE"
"HSPB1","YWHAE"
"PGK1","YWHAE"
"MCM2","YWHAE"
"COPE","YWHAE"
"PRC1","YWHAE"
"RECQL4","YWHAE"
"BAP1","YWHAE"
"FBXW7","YWHAE"
"NBR1","YWHAE"
"PER2","YWHAE"
"CAPZB","YWHAE"
"IGF2BP3","YWHAE"
"PRMT1","YWHAE"
"HMGA1","YWHAE"
"HDGF","YWHAE"
"RUFY1","YWHAE"
