"from","to"
"TUBB2A","YWHAQ"
"TPM1","YWHAQ"
"SFN","YWHAQ"
"YWHAB","YWHAQ"
"KRT9","YWHAQ"
"HDAC5","YWHAQ"
"LCK","YWHAQ"
"LRRK2","YWHAQ"
"TRIM32","YWHAQ"
"MFF","YWHAQ"
"GIGYF1","YWHAQ"
"SIPA1L3","YWHAQ"
"WTAP","YWHAQ"
"CSE1L","YWHAQ"
"TCP1","YWHAQ"
"PGK1","YWHAQ"
"FSCN1","YWHAQ"
"ANXA1","YWHAQ"
"ANXA2","YWHAQ"
"TUBA1A","YWHAQ"
"GCN1L1","YWHAQ"
"PABPN1","YWHAQ"
"RPL7","YWHAQ"
"DDX3X","YWHAQ"
"HNRNPH1","YWHAQ"
"DNMT1","YWHAQ"
"SSBP1","YWHAQ"
"BCAP31","YWHAQ"
"PTPN3","YWHAQ"
"SNRPE","YWHAQ"
"TP53BP2","YWHAQ"
"SMS","YWHAQ"
"VCL","YWHAQ"
"MAPT","YWHAQ"
"FOXO3","YWHAQ"
"YWHAQ","ZFP36"
"NEDD4","YWHAQ"
"SRGAP2","YWHAQ"
"AGAP1","YWHAQ"
"ERC1","YWHAQ"
"AMOTL2","YWHAQ"
"HOMEZ","YWHAQ"
"ARHGAP19","YWHAQ"
"BAZ1A","YWHAQ"
"ARHGAP21","YWHAQ"
"SSFA2","YWHAQ"
"PTOV1","YWHAQ"
"WDR37","YWHAQ"
"CBY1","YWHAQ"
"HBB","YWHAQ"
"PLCH1","YWHAQ"
"SH3PXD2A","YWHAQ"
"EPN2","YWHAQ"
"FOXO1","YWHAQ"
"SASH1","YWHAQ"
"RAB11FIP2","YWHAQ"
"PFDN2","YWHAQ"
"NRBP1","YWHAQ"
"CALU","YWHAQ"
"EIF4E2","YWHAQ"
"IVNS1ABP","YWHAQ"
"KDM5B","YWHAQ"
"LPIN3","YWHAQ"
"PSD3","YWHAQ"
"PUM1","YWHAQ"
"SNX2","YWHAQ"
"SYDE1","YWHAQ"
"ANKRD17","YWHAQ"
"CDK14","YWHAQ"
"NCKIPSD","YWHAQ"
"NCOA6","YWHAQ"
"RAB11FIP1","YWHAQ"
"SBF1","YWHAQ"
"USP43","YWHAQ"
"YTHDF2","YWHAQ"
"YWHAQ","ZNF146"
"AKAP11","YWHAQ"
"CEP192","YWHAQ"
"DST","YWHAQ"
"EPB41L1","YWHAQ"
"FAM171A2","YWHAQ"
"KIAA0355","YWHAQ"
"LUZP1","YWHAQ"
"NCKAP5L","YWHAQ"
"PVRL2","YWHAQ"
"PLEKHA1","YWHAQ"
"ROR2","YWHAQ"
"TJP1","YWHAQ"
"TAB2","YWHAQ"
"NUP107","YWHAQ"
"HMGB1","YWHAQ"
"CDKN1B","YWHAQ"
"EMD","YWHAQ"
"CDC5L","YWHAQ"
"OPTN","YWHAQ"
"GRK5","YWHAQ"
"VCP","YWHAQ"
"FN1","YWHAQ"
"RCOR3","YWHAQ"
"FBXO6","YWHAQ"
"G6PD","YWHAQ"
"SLC9A3R1","YWHAQ"
"ERRFI1","YWHAQ"
"STAU1","YWHAQ"
"WWC1","YWHAQ"
"CRY1","YWHAQ"
"WWP2","YWHAQ"
"PTPN4","YWHAQ"
"FAM189A2","YWHAQ"
"DLD","YWHAQ"
"PCBP1","YWHAQ"
"PPP6C","YWHAQ"
"SLC25A1","YWHAQ"
"BMPR1A","YWHAQ"
"RNF138","YWHAQ"
"UBE2L6","YWHAQ"
"PPT1","YWHAQ"
"GPC1","YWHAQ"
"WDR76","YWHAQ"
"RC3H1","YWHAQ"
"CSK","YWHAQ"
"DYNC1I2","YWHAQ"
"CD74","YWHAQ"
"NCF1","YWHAQ"
"NFX1","YWHAQ"
"FBXW8","YWHAQ"
"PLEKHA4","YWHAQ"
"PINK1","YWHAQ"
"ANLN","YWHAQ"
"CHMP4B","YWHAQ"
"AGTR1","YWHAQ"
"RBM39","YWHAQ"
"FBP1","YWHAQ"
"SPOP","YWHAQ"
"PARK2","YWHAQ"
"NLRP7","YWHAQ"
"SLFN11","YWHAQ"
"ACTR2","YWHAQ"
"ARL8B","YWHAQ"
"KRAS","YWHAQ"
"RRAS2","YWHAQ"
"VAPB","YWHAQ"
"BAG1","YWHAQ"
"ACE2","YWHAQ"
"PRKACB","YWHAQ"
"DDA1","YWHAQ"
"RPA2","YWHAQ"
"RPA3","YWHAQ"
"TRIM21","YWHAQ"
"CHUK","EGLN3"
"EGLN3","SLC25A5"
"EGLN3","PUM1"
"EGLN3","KCTD3"
"EGLN3","PCBP1"
"EGLN3","RNF219"
"EGLN3","TCP1"
"EGLN3","GLI3"
"ATXN2","EGLN3"
"CCT2","EGLN3"
"EGLN3","WAPAL"
"EGLN3","LTV1"
"DNAJA1","EGLN3"
"EGLN3","YWHAQ"
"EGLN3","PPP2R1A"
"EGLN3","PJA2"
"EGLN3","SLC25A3"
"EGLN3","SNX9"
"EGLN3","VCP"
"CHD8","EGLN3"
"EGLN3","GANAB"
"EGLN3","NUCB1"
"EGLN3","EMD"
"ATP5C1","EGLN3"
"EGLN3","RBBP7"
"EGLN3","HLA-C"
"EGLN3","ZNF281"
"ANKRD28","EGLN3"
"EGLN3","RAB11FIP5"
"EGLN3","PSMC4"
"EGLN3","NOB1"
"DPM1","EGLN3"
"AGK","EGLN3"
"EGLN3","TIMM50"
"EGLN3","PRKAR1A"
"ANKLE2","EGLN3"
"EGLN3","TUBB6"
"EGLN3","MYO1B"
"EGLN3","IRAK1"
"CHD1","EGLN3"
"ARNT","EGLN3"
"CSE1L","EGLN3"
"CIAPIN1","EGLN3"
"EGLN3","YY1"
"EGLN3","YWHAB"
"EGLN3","NCOR2"
"AIFM1","EGLN3"
"EGLN3","NDUFA4"
"EGLN3","SDHB"
"EGLN3","TUBB2A"
"AKAP11","EGLN3"
"EGLN3","SSBP1"
"EGLN3","PRDX4"
"EGLN3","NDUFS3"
"EGLN3","FOXO3"
"EGLN3","LIMD1"
"EGLN3","GPATCH8"
"EGLN3","PGRMC1"
"ANKRD17","EGLN3"
"EGLN3","MAP3K7"
"EGLN3","GCN1L1"
"ALDH1B1","EGLN3"
"EGLN3","PPP6C"
"EGLN3","SHKBP1"
"EGLN3","SLC25A11"
"EGLN3","ERRFI1"
"ALG13","EGLN3"
"EGLN3","SCO2"
"EGLN3","POLR1C"
"EGLN3","ZRANB2"
"EGLN3","GPS2"
"EGLN3","TCEB1"
"CENPJ","EGLN3"
"ARHGAP21","EGLN3"
"EGLN3","RANBP9"
"EGLN3","SLC25A1"
"EGLN3","ZNF24"
"EGLN3","HLA-B"
"EGLN3","NUP205"
"EGLN3","TNPO1"
"EGLN3","NDUFB10"
"DSN1","EGLN3"
"EGLN3","SLC3A2"
"EGLN3","TAB2"
"EGLN3","KCMF1"
"EGLN3","SDF2L1"
"EGLN3","IPO8"
"CNOT7","EGLN3"
"ACSL3","EGLN3"
"DDA1","EGLN3"
"EGLN3","KPNA3"
"EGLN3","WDR77"
"EGLN3","MCM5"
"EGLN3","XPOT"
"EGLN3","VPS45"
"EGLN3","PIK3R3"
"EGLN3","TCF12"
"EGLN3","ILK"
"EGLN3","POLR2C"
"EGLN3","GTF3C4"
"EGLN3","UNC45A"
"EGLN3","UBL4A"
"EGLN3","GTF3C2"
"EGLN3","UMPS"
"CALU","EGLN3"
