"from","to"
"NOP56","PARP1"
"NAA40","NOP56"
"NOP56","ZBTB2"
"NOP56","OPTN"
"NOP56","RIT1"
"NOP58","RPL37A"
"NOP58","NOP58"
"NOP56","NOP58"
"GNL3","NOP58"
"DHX15","NOP58"
"NOP58","SUZ12"
"NOP58","RNF4"
"NOP58","UBE3A"
"MAD2L2","NOP58"
"KIF20A","NOP58"
"MKI67","NOP58"
"NOP58","NUPR1"
"NOP58","PARP1"
"NOP58","ZBTB2"
"NOP58","RIT1"
"NOP58","UBE2O"
"DCAF4","NOP58"
"RBBP4","SMARCA4"
"SMARCA4","SMARCA4"
"ACTG1","SMARCA4"
"CHAF1A","SMARCA4"
"SMARCA4","SUZ12"
"IKZF1","SMARCA4"
"NOP56","SMARCA4"
"KIF20A","SMARCA4"
"NAA40","SMARCA4"
"RIT1","SMARCA4"
"PARP1","SMARCA4"
"PDIA3","SMARCA4"
"FBXO7","FBXO7"
"FBXO7","RBBP4"
"FBXO7","UBB"
"DYNC1H1","FBXO7"
"FBXO7","HSP90AA1"
"FBXO7","GNL3"
"FBXO7","SRSF10"
"FBXO7","RPL37A"
"FBXO7","SRSF7"
"FBXO7","UBC"
"GNL3","NOP56"
"GNL3","RPL37A"
"GNL3","NOP58"
"GNL3","RBBP4"
"FBXO7","GNL3"
"GNL3","KIF20A"
"C1QBP","GNL3"
"GNL3","MKI67"
"GNL3","PARP1"
"GNL3","NAA40"
"GNL3","ZBTB2"
"GNL3","RIT1"
"GNL3","SRP9"
"GNL3","UBE2O"
"DCAF4","GNL3"
"SRSF1","SRSF1"
"SRSF1","SRSF2"
"SRSF1","SRSF10"
"SRSF1","YWHAH"
"SRSF1","SRSF7"
"DYNC1H1","SRSF1"
"C1QBP","SRSF1"
"SRSF1","UBC"
"DHX15","SRSF1"
"SRSF1","SUZ12"
"HIST1H1E","SRSF1"
"KIF20A","SRSF1"
"NUPR1","SRSF1"
"FBP1","SRSF1"
"SRSF1","UBB"
