"from","to"
"DYNC1H1","FBXO7"
"DYNC1H1","OPTN"
"DYNC1H1","PRKDC"
"DYNC1H1","SRSF1"
"DYNC1H1","UBE2O"
"DYNC1H1","RICTOR"
"ZBTB2","ZBTB2"
"NOP56","ZBTB2"
"GNL3","ZBTB2"
"NOP58","ZBTB2"
"SRSF10","ZBTB2"
"SUZ12","ZBTB2"
"MSH6","ZBTB2"
"UBE2O","ZBTB2"
"NEDD4","NEDD4"
"NEDD4","UBC"
"NEDD4","YWHAH"
"NEDD4","UBB"
"LRRK2","NEDD4"
