"from","to"
"PRKCSH","PRKCZ"
"PRKCSH","RNF149"
"SUZ12","ZNF281"
"HNF1B","ZNF281"
"TLX2","ZNF281"
"NUP43","ZNF281"
"SMC5","ZNF281"
"ILF3","TRIP4"
"DDX24","TRIP4"
"DHX9","TRIP4"
"DHX15","TRIP4"
"NUP43","SREK1"
"SMC5","SREK1"
"ILF3","TEX10"
"TEX10","ZBTB2"
"RIT1","TEX10"
"NUP43","TEX10"
"CDK6","SNIP1"
"CDK6","CDK6"
"CDK6","PPP2CA"
"CDK6","GBF1"
"CDK6","NF2"
"CDK6","NUPR1"
"ADARB1","TCF20"
"SIN3A","TCF20"
"TCF20","ZBTB2"
"TCF20","TLX2"
"NUP43","TCF20"
"SMC5","TCF20"
"FERMT2","VCL"
"FERMT2","NRAS"
"FERMT2","GBF1"
"CHD8","DNMT3B"
"CHD8","SUZ12"
"CHD8","H2AFY"
"CHD8","GBF1"
"ADARB1","CHD8"
"CHD8","NUP43"
"CHD8","SMC5"
"HIST1H2BL","ITGA4"
"ADARB1","HIST1H2BL"
"HIST1H2BL","SMC5"
"ITGA4","LGALS1"
"DBN1","LGALS1"
"LGALS1","PRKCZ"
"LGALS1","NUP43"
"NUP43","PELO"
"ITGA4","PELO"
"LCOR","SUZ12"
"DNMT1","LCOR"
"LCOR","NUP43"
"CCNK","SMC5"
"CCNK","EYA4"
"DNMT1","HELLS"
"DNMT3B","HELLS"
"H2AFY","HELLS"
"HELLS","SMC5"
"NRP1","NRP1"
"NRP1","RAB3B"
"NRP1","RAB4A"
"NRP1","YTHDF3"
"NF2","NRP1"
"GOLGB1","NRP1"
"ACIN1","NRP1"
"ANKRD28","NUP43"
"DPF2","NFATC1"
"DNMT3B","UGGT1"
"DPF2","UGGT1"
"NUPR1","UGGT1"
"RNF149","UGGT1"
"SNIP1","TET2"
"HNF1B","TET2"
"EYA4","TET2"
"PFAS","VCL"
"CHERP","PFAS"
"PFAS","RIT1"
"BAG1","PFAS"
"RIT1","ZCCHC8"
"DHX9","ZCCHC8"
"PHF3","SMC5"
"EYA4","PFDN2"
"PFDN2","RIT1"
"NUP43","PFDN2"
"PFDN2","RNF149"
"STYK1","STYK1"
"DBN1","STYK1"
"MAP4K4","STYK1"
"LEMD3","STYK1"
"NUP155","STYK1"
"GAB1","NRAS"
"GAB1","STYK1"
"DPF2","PLOD3"
"NUPR1","PLOD3"
"DHX9","MBNL1"
"H2AFY","MBNL1"
"ITGA4","MBNL1"
"MBNL1","RBFOX2"
"BAG1","MBNL1"
"MBNL1","SMC5"
"CDKN2AIP","NUP43"
"CDKN2AIP","SMC5"
"CDKN2AIP","ILF3"
"CDKN2AIP","EYA4"
"FHL3","PTPN6"
"GBF1","PTPN6"
"RBFOX2","UBAP2"
"GBF1","UBAP2"
"PPP2CA","UBAP2"
"UBAP2","YTHDF3"
"BAG1","UBAP2"
"SMC5","UBAP2"
"MAP4K4","SLC9A1"
"NRAS","SLC9A1"
"ATP2A1","SLC9A1"
"MTPAP","NF2"
"LGALS8","MTPAP"
"ADCK3","SIN3A"
"ADCK3","IRAK1"
"CDC40","SUZ12"
"CDC40","SNIP1"
"CDC40","NUPR1"
"ATP2A1","PLXNB2"
"PLXNB2","RNF149"
"ARL6IP5","RTN4"
"ARL6IP5","NRAS"
"ARL6IP5","ATP2A1"
"FMNL2","MAP4K4"
"FMNL2","NUPR1"
"CLIC1","ITGA4"
"CLIC1","HNF1B"
"CLIC1","NUPR1"
"BAG1","CLIC1"
"STYK1","ULK1"
"H2AFY","PHF14"
"PHF14","SUZ12"
"PHF14","ZBTB2"
"ADARB1","PHF14"
"PHF14","SMC5"
"DPF2","EPAS1"
"EPAS1","SIN3A"
"SMC5","ZC3H15"
"RTN4","TMEM43"
"RNF149","TMEM43"
"FAM171A1","STYK1"
"FHL3","FHL3"
"FHL3","SUZ12"
"EYA4","FHL3"
"DPF2","TLX2"
"DDX24","TLX2"
"DBN1","TLX2"
"HNF1B","TLX2"
"IPO11","NUP155"
